institution_id,institution_slug,institution_name,institution_type,city,state_code,country_code,latitude,longitude,website_url
253,mathematical-association-of-america-washington-dc-us,Mathematical Association of America,,WASHINGTON,DC,US,,,
50,mathematical-sciences-research-institute-berkeley-ca-us,Mathematical Sciences Research Institute,,BERKELEY,CA,US,,,
214,metropolitan-state-university-of-denver-denver-co-us,Metropolitan State University of Denver,,DENVER,CO,US,,,
238,miami-university-oxford-oh-us,Miami University,,OXFORD,OH,US,,,
4,michigan-state-university-east-lansing-mi-us,Michigan State University,,EAST LANSING,MI,US,,,
300,michigan-technological-university-houghton-mi-us,Michigan Technological University,,HOUGHTON,MI,US,,,
267,middle-tennessee-state-university-murfreesboro-tn-us,Middle Tennessee State University,,MURFREESBORO,TN,US,,,
170,mississippi-state-university-mississippi-state-ms-us,Mississippi State University,,MISSISSIPPI STATE,MS,US,,,
87,missouri-botanical-garden-saint-louis-mo-us,Missouri Botanical Garden,,SAINT LOUIS,MO,US,,,
320,missouri-state-university-springfield-mo-us,Missouri State University,,SPRINGFIELD,MO,US,,,
60,missouri-university-of-science-and-technology-rolla-mo-us,Missouri University of Science and Technology,,Rolla,MO,US,,,
77,montana-state-university-bozeman-mt-us,Montana State University,,BOZEMAN,MT,US,,,
322,morgan-state-university-baltimore-md-us,Morgan State University,,BALTIMORE,MD,US,,,
81,morton-arboretum-lisle-il-us,Morton Arboretum,,LISLE,IL,US,,,
188,mote-marine-laboratory-sarasota-fl-us,Mote Marine Laboratory,,SARASOTA,FL,US,,,
305,mount-desert-island-biological-laboratory-bar-harbor-me-us,Mount Desert Island Biological Laboratory,,BAR HARBOR,ME,US,,,
15,nasa-multiple-multiple-us,NASA,,Multiple,Multiple,US,,,
205,nantucket-maria-mitchell-association-nantucket-ma-us,Nantucket Maria Mitchell Association,,NANTUCKET,MA,US,,,
16,national-institute-of-standards-and-technology-gaithersburg-boulder-md-co-us,National Institute of Standards and Technology,,Gaithersburg / Boulder,MD / CO,US,,,
14,national-institutes-of-health-multiple-multiple-us,National Institutes of Health,,Multiple,Multiple,US,,,
376,national-science-foundation-us,National Science Foundation,,,,US,,,
382,national-science-foundation-research-experience-for-undergraduates-nsf-reu-us,National Science Foundation Research Experience for Undergraduates (NSF REU),,,,US,,,
387,new-jersey-institute-of-technology-us,New Jersey Institute of Technology,,,,US,,,
215,new-jersey-institute-of-technology-newark-nj-us,New Jersey Institute of Technology,,NEWARK,NJ,US,,,
