source_id,source_url,source_name,source_type,publisher,authoritative
77,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150424,Plastic Recycling and Advanced Chemical-physical Transformations for Improved Circular Economy (PRACTICE-REU) application,official_program,,1
78,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150434,Combinatorics and Coding Theory in the Tropics application,official_program,,1
79,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150436,From Bench to Market: Engineering Systems for High Efficiency Separations application,official_program,,1
80,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150441,"Ecohydrology of Tropical Montane Forestsâ€”Diversity in Science, Interdisciplinary Breadth, and Global Awareness application",official_program,,1
81,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150491,Interdisciplinary Research Experience in Computational Sciences application,official_program,,1
82,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150515,UC Davis Physics and Astronomy application,official_program,,1
83,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2150643,Interdisciplinary AI Research for Undergraduates application,official_program,,1
84,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2241623,The Williams College SMALL REU program application,official_program,,1
85,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2241704,Translating Research in the Psychological Sciences to the Real World application,official_program,,1
86,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2242514,"Materials Make the World, A Dartmouth College REU Site in Materials Science application",official_program,,1
87,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2242779,Center: REU Site: Interdisciplinary Research Opportunities in Biophysics application,official_program,,1
88,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2242815,"REU Site - Summer undergraduate research internships in ocean ecology, biogeochemistry, physical oceanography, and marine geology and geophysics in the CEOAS at OSU application",official_program,,1
89,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243010,Algorithms and Optimization for Sustainability and Biology application,official_program,,1
90,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243206,Genomics and Computational biology,official_program,,1
91,https://etap.nsf.gov,Research Experiences for Undergraduates in Neuroscience application,official_application,,1
92,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243249,Interdisciplinary Study of the Politics of Place application,official_program,,1
93,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243400,REU Site in Cellular and Molecular Biology at Sanford Research application,official_program,,1
94,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243586,Integrative tree science for the Anthropocene at the Morton Arboretum,official_program,,1
95,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243619,Research in Consumer Networking Technologies application,official_program,,1
96,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243657,Interdisciplinary Training for Research and Outreach in Climate Science (IT-ROCS) application,official_program,,1
97,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243722,Inclusion and Innovation in Medical Devices application,official_program,,1
98,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243731,REU/RET Physics Site at the University of Oklahoma application,official_program,,1
99,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243739,Optics in the City of Light application,official_program,,1
100,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243754,Research Experience for Undergraduates in Biosensing - Engineering Molecular or Nanoscale Signal Transducers for High-Performance Bio-Detection application,official_program,,1
101,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243824,Botany and Conservation Biology Research at the Missouri Botanical Garden application,official_program,,1
102,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243853,Computing for an Equitable Energy Transition application,official_program,,1
103,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243857,"Dynamic Earth in the 21st Century: Undergraduate Research on the Evolution of Earth's Interior, Surface and Climate application",official_program,,1
104,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243880,Research Experiences in Integrative Climate and Environmental Sciences application,official_program,,1
105,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243909,Astronomy and Geoscience at the Massachusetts Institute of Technology (MIT) Haystack Observatory application,official_program,,1
106,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243923,Climate and Sustainability Research in Nanotechnology and Electrochemical Devices for Community College Students application,official_program,,1
107,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243938,Extremal Graph Theory and Dynamical Systems at RIT application,official_program,,1
108,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243941,Exploring the Limits of Intelligent Systems application,official_program,,1
109,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243953,Training in Emerging Biomedical Optics and Imaging Approaches application,official_program,,1
110,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2243955,Modeling the Dynamics of Biological Systems application,official_program,,1
